iter	Passed	Remaining
424	992	1342
425	994	1340
426	998	1339
427	1001	1338
428	1004	1336
429	1006	1334
430	1009	1332
431	1011	1330
432	1015	1329
433	1017	1326
434	1020	1325
435	1023	1323
436	1025	1321
437	1029	1320
438	1032	1319
439	1035	1317
440	1038	1315
441	1041	1314
442	1043	1312
443	1046	1310
444	1049	1308
445	1052	1307
446	1054	1304
447	1059	1304
448	1061	1302
449	1064	1301
450	1067	1299
451	1070	1297
452	1072	1294
453	1074	1292
454	1077	1290
455	1079	1288
456	1083	1287
457	1085	1285
458	1088	1283
459	1091	1281
460	1094	1279
461	1097	1277
462	1099	1275
463	1102	1273
464	1104	1270
465	1107	1268
466	1110	1266
467	1112	1264
468	1115	1262
469	1117	1260
470	1121	1259
471	1123	1257
472	1126	1254
473	1128	1252
474	1131	1250
475	1134	1248
476	1136	1246
477	1139	1244
478	1142	1242
479	1144	1240
480	1147	1238
481	1151	1237
482	1153	1234
483	1155	1232
484	1158	1230
485	1160	1227
486	1163	1225
487	1165	1223
488	1168	1221
489	1171	1218
490	1173	1216
491	1176	1214
492	1178	1211
493	1180	1209
494	1183	1207
495	1185	1204
496	1188	1202
497	1191	1200
498	1193	1198
499	1195	1195
500	1198	1193
501	1200	1190
502	1202	1188
503	1204	1185
504	1206	1182
505	1208	1179
506	1210	1177
507	1212	1174
508	1215	1172
509	1217	1169
510	1219	1167
511	1222	1164
512	1224	1162
513	1226	1159
514	1229	1157
515	1231	1154
516	1233	1152
517	1235	1150
518	1238	1148
519	1241	1145
520	1243	1143
521	1245	1140
522	1247	1137
523	1249	1135
524	1252	1133
525	1254	1130
526	1256	1127
527	1259	1125
528	1261	1123
529	1263	1120
530	1265	1118
531	1267	1115
532	1270	1112
533	1272	1110
534	1274	1107
535	1277	1105
536	1279	1102
537	1281	1100
538	1283	1097
539	1285	1095
540	1287	1092
541	1289	1089
542	1292	1087
543	1294	1084
544	1295	1081
545	1297	1079
546	1299	1076
547	1302	1074
548	1304	1071
549	1306	1068
550	1308	1066
551	1310	1063
552	1312	1060
553	1314	1057
554	1316	1055
555	1318	1052
556	1320	1050
557	1322	1047
558	1324	1044
559	1326	1042
560	1328	1039
561	1330	1037
562	1332	1034
563	1334	1031
564	1336	1028
565	1338	1026
566	1340	1023
567	1342	1021
568	1344	1018
569	1346	1015
570	1348	1013
571	1350	1010
572	1352	1008
573	1354	1005
574	1357	1003
575	1359	1000
576	1361	998
577	1363	995
578	1365	992
579	1367	990
580	1369	987
581	1371	985
582	1373	982
583	1375	979
584	1378	977
585	1380	975
586	1382	972
587	1384	969
588	1386	967
589	1388	965
590	1390	962
591	1392	959
592	1394	957
593	1397	954
594	1399	952
595	1401	950
596	1403	947
597	1405	944
598	1407	942
599	1409	939
600	1411	937
601	1414	935
602	1416	932
603	1418	929
604	1420	927
605	1422	925
606	1425	922
607	1427	920
608	1430	918
609	1432	915
610	1434	913
611	1436	910
612	1438	908
613	1440	905
614	1443	903
615	1445	901
616	1447	898
617	1449	896
618	1452	893
619	1454	891
620	1456	888
621	1458	886
622	1460	883
623	1462	881
624	1465	879
625	1467	876
626	1469	874
627	1471	871
628	1473	869
629	1475	866
630	1478	864
631	1480	861
632	1482	859
633	1485	857
634	1487	855
635	1489	852
636	1491	850
637	1493	847
638	1496	845
639	1499	843
640	1502	841
641	1504	838
642	1506	836
643	1509	834
644	1511	831
645	1513	829
646	1516	827
647	1518	825
648	1521	822
649	1523	820
650	1526	818
651	1528	815
652	1530	813
653	1533	811
654	1535	809
655	1538	806
656	1540	804
657	1542	801
658	1545	799
659	1547	797
660	1549	794
661	1551	792
662	1554	790
663	1556	787
664	1559	785
665	1561	783
666	1564	780
667	1566	778
668	1569	776
669	1572	774
670	1574	772
671	1577	769
672	1579	767
673	1582	765
674	1584	762
675	1587	760
676	1589	758
677	1591	756
678	1594	753
679	1596	751
680	1598	748
681	1601	746
682	1603	744
683	1605	741
684	1607	739
685	1609	736
686	1612	734
687	1615	732
688	1617	730
689	1620	727
690	1622	725
691	1624	723
692	1627	720
693	1629	718
694	1631	716
695	1633	713
696	1635	711
697	1637	708
698	1640	706
699	1642	704
700	1644	701
701	1646	698
702	1648	696
703	1650	693
704	1652	691
705	1653	688
706	1655	686
707	1657	683
708	1659	681
709	1661	678
710	1663	676
711	1665	673
712	1667	671
713	1669	668
714	1671	666
715	1673	663
716	1674	661
717	1676	658
718	1678	655
719	1680	653
720	1682	650
721	1683	648
722	1685	645
723	1687	643
724	1689	640
725	1691	638
726	1692	635
727	1694	633
728	1696	630
729	1698	628
730	1700	625
731	1702	623
732	1703	620
733	1705	618
734	1707	615
735	1709	613
736	1711	610
737	1713	608
738	1715	605
739	1716	603
740	1718	600
741	1720	598
742	1722	595
743	1723	593
744	1725	590
745	1727	588
746	1729	585
747	1731	583
748	1733	580
749	1735	578
750	1737	576
751	1738	573
752	1741	571
753	1742	568
754	1744	566
755	1746	563
756	1748	561
757	1750	558
758	1751	556
759	1753	553
760	1755	551
761	1757	548
762	1759	546
763	1761	544
764	1763	541
765	1765	539
766	1766	536
767	1769	534
768	1770	531
769	1772	529
770	1774	527
771	1775	524
772	1777	521
773	1778	519
774	1780	516
775	1782	514
776	1784	512
777	1785	509
778	1787	507
779	1789	504
780	1791	502
781	1792	499
782	1794	497
783	1796	494
784	1797	492
785	1799	490
786	1801	487
787	1803	485
788	1804	482
789	1806	480
790	1808	477
791	1809	475
792	1811	472
793	1813	470
794	1814	467
795	1816	465
796	1817	462
797	1819	460
798	1821	458
799	1823	455
800	1825	453
801	1826	451
802	1828	448
803	1830	446
804	1831	443
805	1833	441
806	1835	438
807	1836	436
808	1838	434
809	1840	431
810	1841	429
811	1843	426
812	1845	424
813	1847	422
814	1848	419
815	1850	417
816	1852	414
817	1853	412
818	1856	410
819	1857	407
820	1859	405
821	1861	403
822	1863	400
823	1865	398
824	1867	396
825	1869	393
826	1871	391
827	1873	389
828	1874	386
829	1876	384
830	1878	381
831	1879	379
832	1881	377
833	1883	374
834	1885	372
835	1886	370
836	1888	367
837	1890	365
838	1891	363
839	1893	360
840	1895	358
841	1897	355
842	1898	353
843	1900	351
844	1902	348
845	1904	346
846	1905	344
847	1907	341
848	1910	339
849	1911	337
850	1913	335
851	1915	332
852	1917	330
853	1918	328
854	1920	325
855	1922	323
856	1924	321
857	1925	318
858	1928	316
859	1929	314
860	1931	311
861	1933	309
862	1935	307
863	1937	304
864	1938	302
865	1940	300
866	1942	297
867	1944	295
868	1946	293
869	1948	291
870	1950	288
871	1951	286
872	1953	284
873	1955	281
874	1957	279
875	1959	277
876	1961	275
877	1963	272
878	1965	270
879	1966	268
880	1968	265
881	1970	263
882	1972	261
883	1974	259
884	1976	256
885	1978	254
886	1980	252
887	1982	250
888	1984	247
889	1986	245
890	1988	243
891	1990	240
892	1992	238
893	1993	236
894	1995	234
895	1997	231
896	1999	229
897	2001	227
898	2003	225
899	2005	222
900	2007	220
901	2008	218
902	2010	216
903	2012	213
904	2014	211
905	2016	209
906	2017	206
907	2019	204
908	2021	202
909	2023	200
910	2025	197
911	2027	195
912	2029	193
913	2031	191
914	2033	188
915	2035	186
916	2037	184
917	2038	182
918	2040	179
919	2042	177
920	2044	175
921	2046	173
922	2048	170
923	2050	168
924	2052	166
925	2053	164
926	2055	161
927	2057	159
928	2058	157
929	2060	155
930	2062	152
931	2064	150
932	2066	148
933	2068	146
934	2069	143
935	2072	141
936	2073	139
937	2075	137
938	2077	134
939	2079	132
940	2081	130
941	2083	128
942	2084	126
943	2086	123
944	2088	121
945	2090	119
946	2092	117
947	2093	114
948	2095	112
949	2097	110
950	2098	108
951	2100	105
952	2102	103
953	2103	101
954	2105	99
955	2106	96
956	2108	94
957	2110	92
958	2112	90
959	2114	88
960	2116	85
961	2118	83
962	2119	81
963	2121	79
964	2123	77
965	2125	74
966	2127	72
967	2129	70
968	2131	68
969	2132	65
970	2134	63
971	2136	61
972	2138	59
973	2140	57
974	2141	54
975	2143	52
976	2145	50
977	2146	48
978	2148	46
979	2150	43
980	2152	41
981	2153	39
982	2155	37
983	2157	35
984	2159	32
985	2161	30
986	2162	28
987	2164	26
988	2166	24
989	2167	21
990	2169	19
991	2171	17
992	2173	15
993	2175	13
994	2176	10
995	2178	8
996	2180	6
997	2182	4
998	2183	2
999	2185	0
